

 **** Upper caste keywords and negative aspect ****
Journal IN-thehindu-opinion ; between poor and upper_caste is 0.1850
Journal IN-thehindu-opinion ; between poor and brahmin is 0.7758
Journal IN-thehindu-opinion ; between violence and upper_caste is 0.2666
Journal IN-thehindu-opinion ; between violence and brahmin is 0.6375
Journal IN-thehindu-opinion ; between disease and upper_caste is 0.2591
Journal IN-thehindu-opinion ; between disease and brahmin is 0.7482
Journal IN-thehindu-opinion ; between unhealthy and upper_caste is 0.6658
Journal IN-thehindu-opinion ; between unhealthy and brahmin is 0.3594
Journal IN-thehindu-opinion ; between incident and upper_caste is 0.2754
Journal IN-thehindu-opinion ; between incident and brahmin is 0.6466
Journal IN-thehindu-opinion ; between crime and upper_caste is 0.1675
Journal IN-thehindu-opinion ; between crime and brahmin is 0.7747
Journal IN-indianexpress-india ; between poor and upper_caste is 0.1850
Journal IN-indianexpress-india ; between poor and brahmin is 0.7758
Journal IN-indianexpress-india ; between violence and upper_caste is 0.2666
Journal IN-indianexpress-india ; between violence and brahmin is 0.6375
Journal IN-indianexpress-india ; between disease and upper_caste is 0.2591
Journal IN-indianexpress-india ; between disease and brahmin is 0.7482
Journal IN-indianexpress-india ; between unhealthy and upper_caste is 0.6658
Journal IN-indianexpress-india ; between unhealthy and brahmin is 0.3594
Journal IN-indianexpress-india ; between incident and upper_caste is 0.2754
Journal IN-indianexpress-india ; between incident and brahmin is 0.6466
Journal IN-indianexpress-india ; between crime and upper_caste is 0.1675
Journal IN-indianexpress-india ; between crime and brahmin is 0.7747
Journal IN-indianexpress-opinion ; between poor and upper_caste is 0.1850
Journal IN-indianexpress-opinion ; between poor and brahmin is 0.7758
Journal IN-indianexpress-opinion ; between violence and upper_caste is 0.2666
Journal IN-indianexpress-opinion ; between violence and brahmin is 0.6375
Journal IN-indianexpress-opinion ; between disease and upper_caste is 0.2591
Journal IN-indianexpress-opinion ; between disease and brahmin is 0.7482
Journal IN-indianexpress-opinion ; between unhealthy and upper_caste is 0.6658
Journal IN-indianexpress-opinion ; between unhealthy and brahmin is 0.3594
Journal IN-indianexpress-opinion ; between incident and upper_caste is 0.2754
Journal IN-indianexpress-opinion ; between incident and brahmin is 0.6466
Journal IN-indianexpress-opinion ; between crime and upper_caste is 0.1675
Journal IN-indianexpress-opinion ; between crime and brahmin is 0.7747
Journal IN-indianexpress-editorials ; between poor and upper_caste is 0.1850
Journal IN-indianexpress-editorials ; between poor and brahmin is 0.7758
Journal IN-indianexpress-editorials ; between violence and upper_caste is 0.2666
Journal IN-indianexpress-editorials ; between violence and brahmin is 0.6375
Journal IN-indianexpress-editorials ; between disease and upper_caste is 0.2591
Journal IN-indianexpress-editorials ; between disease and brahmin is 0.7482
Journal IN-indianexpress-editorials ; between unhealthy and upper_caste is 0.6658
Journal IN-indianexpress-editorials ; between unhealthy and brahmin is 0.3594
Journal IN-indianexpress-editorials ; between incident and upper_caste is 0.2754
Journal IN-indianexpress-editorials ; between incident and brahmin is 0.6466
Journal IN-indianexpress-editorials ; between crime and upper_caste is 0.1675
Journal IN-indianexpress-editorials ; between crime and brahmin is 0.7747
Journal IN-thetimesofindia_00 ; between poor and upper_caste is 0.1850
Journal IN-thetimesofindia_00 ; between poor and brahmin is 0.7758
Journal IN-thetimesofindia_00 ; between violence and upper_caste is 0.2666
Journal IN-thetimesofindia_00 ; between violence and brahmin is 0.6375
Journal IN-thetimesofindia_00 ; between disease and upper_caste is 0.2591
Journal IN-thetimesofindia_00 ; between disease and brahmin is 0.7482
Journal IN-thetimesofindia_00 ; between unhealthy and upper_caste is 0.6658
Journal IN-thetimesofindia_00 ; between unhealthy and brahmin is 0.3594
Journal IN-thetimesofindia_00 ; between incident and upper_caste is 0.2754
Journal IN-thetimesofindia_00 ; between incident and brahmin is 0.6466
Journal IN-thetimesofindia_00 ; between crime and upper_caste is 0.1675
Journal IN-thetimesofindia_00 ; between crime and brahmin is 0.7747
Journal IN-thetimesofindia_01 ; between poor and upper_caste is 0.1850
Journal IN-thetimesofindia_01 ; between poor and brahmin is 0.7758
Journal IN-thetimesofindia_01 ; between violence and upper_caste is 0.2666
Journal IN-thetimesofindia_01 ; between violence and brahmin is 0.6375
Journal IN-thetimesofindia_01 ; between disease and upper_caste is 0.2591
Journal IN-thetimesofindia_01 ; between disease and brahmin is 0.7482
Journal IN-thetimesofindia_01 ; between unhealthy and upper_caste is 0.6658
Journal IN-thetimesofindia_01 ; between unhealthy and brahmin is 0.3594
Journal IN-thetimesofindia_01 ; between incident and upper_caste is 0.2754
Journal IN-thetimesofindia_01 ; between incident and brahmin is 0.6466
Journal IN-thetimesofindia_01 ; between crime and upper_caste is 0.1675
